"Color","Prob"
"black",0.0130883644857153
"brown",0.0280115286898543
"cyan",0.0324400938840642
"grey",0.264550796629433
"orange",0.155405828477534
"purple",0.000656505380118513
"red",0.0143880933451985
"yellow",0.491458789108082
