"Hora","D1","D2","D3","D4","D5","D6","D7"
0,0.00600152172634351,0.005718806981726,0.0061836735081105,0.00626146749824015,0.00684776854580263,0.00782683437280018,0.00736007043202228
1,0.00381380293074627,0.00342483298009802,0.00395800642464514,0.00416672200791981,0.00469610062368011,0.00684966596019604,0.00671874436705102
2,0.00310986219079261,0.00266966205152239,0.00311365701957942,0.00337550020586946,0.00377016239969793,0.00617418643614347,0.00601480362709735
3,0.00257099650306527,0.00217253948044999,0.00235658867661038,0.0025482275303444,0.0029523767961399,0.00527291459927557,0.00581557511578971
4,0.00240022920765872,0.00181013333130942,0.00207956617517309,0.00213079636379506,0.00240022920765872,0.00487635499105369,0.0053146577159305
5,0.00194484975324126,0.00162039189196881,0.00167351949498418,0.00169439105331165,0.00198279804110938,0.00302068371430252,0.00332806484603431
6,0.00215166792212252,0.0020833610039599,0.00224084639861261,0.00220289811074449,0.00230725590238182,0.00244007490992025,0.00241920335159278
7,0.0031705794513816,0.00332237260285409,0.00360888217625841,0.00346467868235955,0.00338119244904968,0.00231674297434885,0.0023300248751027
8,0.0053127603015371,0.00525014562655469,0.00573967854005347,0.00538296463409312,0.00536209307576565,0.00343811488085186,0.00321611739682335
9,0.00579849838624906,0.00583075443093696,0.00588198461955893,0.00585921564683805,0.00575296044080731,0.00427107979955714,0.00366011236488038
10,0.00605844415814569,0.00597875275362264,0.00641136323531923,0.00593890705136111,0.00591044583546002,0.00505091711524705,0.00453292298584719
11,0.00609828986040722,0.00616280194978303,0.00634685114594342,0.0061855709225039,0.00643033737925329,0.00531086288714369,0.00458605058886256
12,0.00823857329616931,0.00812093360377813,0.00852128804078682,0.008265137097677,0.00812283101817154,0.00699956169727512,0.00631649251564893
13,0.00684966596019604,0.00732971180172779,0.00753463255621565,0.00731073765779372,0.00716084192071464,0.00601100879831054,0.00548732242573046
14,0.00796534562351883,0.0080791904871232,0.00863513290439119,0.00812662584695835,0.00819872759390778,0.00636013304669727,0.00597685533922923
15,0.00870343982255381,0.00897666749520428,0.00946620040870306,0.00908482011562843,0.00919487015044599,0.00714566260556739,0.00674910299734552
16,0.0084226224923297,0.00901651319746581,0.00936184261706573,0.00900702612549878,0.00906964080048119,0.007396121305497,0.00701853584120918
17,0.00852318545518023,0.00913415288985699,0.00929733052768992,0.00890456574825485,0.00939030383296682,0.00757827308726399,0.00706027895786412
18,0.00841882766354289,0.00899753905353175,0.00929922794208332,0.00904497441336691,0.00921384429438005,0.0076750412213277,0.00745494115169259
19,0.00760104205998486,0.00837518713249455,0.00873949069602852,0.00834482850220005,0.00880400278540433,0.00747771012441346,0.00709822724573224
20,0.00767124639254088,0.00812283101817154,0.0083600078173473,0.00810385687423748,0.00824426553934953,0.00765796449178704,0.00726519971235198
21,0.00621782696719181,0.00698248496773447,0.00745494115169259,0.00718550830782892,0.0078628852462749,0.00718550830782892,0.00626715974142037
22,0.00568085869385788,0.00645500376636757,0.00619885282325775,0.00688761424806416,0.00757827308726399,0.00686105044655648,0.00603567518542482
23,0.00505850677282068,0.00564291040598976,0.0055613215870733,0.00592183032182046,0.00714186777678058,0.00691417804957185,0.00560306470372823
