"Hora","D1","D2","D3","D4","D5","D6","D7"
0,0.000157485394652707,0.000159382809046113,0.000178356952980174,0.000110050034817554,0.000140408665112052,0.000144203493898864,0.000147998322685676
1,0.000138511250718646,0.000123331935571397,0.000100562962850524,0.000140408665112052,0.000151793151472488,0.000157485394652707,0.000140408665112052
2,0.000123331935571397,0.000155587980259301,0.000129024178751615,0.00014610090829227,0.000134716421931833,0.000140408665112052,0.000113844863604366
3,0.000123331935571397,0.000138511250718646,0.000161280223439519,0.000119537106784585,0.000153690565865895,0.000161280223439519,0.000134716421931833
4,0.000147998322685676,0.000123331935571397,0.000121434521177991,0.000123331935571397,0.000127126764358209,0.000166972466619737,0.000130921593145021
5,0.00010246037724393,0.000106255206030742,8.53836477032747e-05,0.000104357791637336,0.00010246037724393,0.000110050034817554,9.67681340637114e-05
6,0.000113844863604366,9.86655484571175e-05,9.86655484571175e-05,9.10758908834931e-05,0.000106255206030742,8.15888189164625e-05,6.26146749824015e-05
7,0.00018025436737358,0.000193536268127423,0.000165075052226331,0.000225792312815327,0.000184049196160392,8.15888189164625e-05,8.72810620966809e-05
8,0.000256150943109824,0.0002485612855362,0.000280817330224104,0.000242869042355982,0.000273227672650479,9.48707196703053e-05,8.72810620966809e-05
9,0.000218202655241702,0.000197331096914235,0.000239074213569169,0.000286509573404322,0.0002485612855362,0.000125229349964803,7.58965757362442e-05
10,0.000235279384782357,0.000199228511307641,0.000216305240848296,0.000170767295406549,0.000231484555995545,0.000130921593145021,0.000106255206030742
11,0.000197331096914235,0.000155587980259301,0.000204920754487859,0.000231484555995545,0.000218202655241702,0.000157485394652707,0.000125229349964803
12,0.000195433682520829,0.000237176799175763,0.000240971627962575,0.000221997484028514,0.000250458699929606,0.000161280223439519,0.000125229349964803
13,0.000161280223439519,0.000187844024947204,0.000225792312815327,0.000201125925701047,0.000187844024947204,0.000127126764358209,0.000108152620424148
14,0.000195433682520829,0.000155587980259301,0.000231484555995545,0.000176459538586768,0.000227689727208733,0.000134716421931833,0.000115742277997772
15,0.00021440782645489,0.000201125925701047,0.000210612997668078,0.000201125925701047,0.000263740600683449,0.000201125925701047,0.000142306079505458
16,0.000225792312815327,0.000189741439340611,0.000187844024947204,0.000199228511307641,0.000297894059764759,0.000210612997668078,0.000108152620424148
17,0.00021440782645489,0.000185946610553798,0.000235279384782357,0.000212510412061484,0.000284612159010916,0.000233381970388951,0.000182151781766986
18,0.000204920754487859,0.000182151781766986,0.000246663871142794,0.000235279384782357,0.000242869042355982,0.000204920754487859,0.000147998322685676
19,0.000166972466619737,0.000178356952980174,0.000218202655241702,0.000140408665112052,0.000261843186290043,0.000182151781766986,0.000119537106784585
20,0.000165075052226331,0.000147998322685676,0.000157485394652707,0.000147998322685676,0.000201125925701047,0.000206818168881265,0.00013661383632524
21,0.000153690565865895,0.000161280223439519,0.000132819007538427,0.000165075052226331,0.000168869881013143,0.000157485394652707,0.00011194744921096
22,0.000121434521177991,0.000140408665112052,0.00013661383632524,0.000121434521177991,0.000151793151472488,0.000165075052226331,0.000140408665112052
23,0.000138511250718646,0.000165075052226331,0.000132819007538427,0.000149895737079082,0.00013661383632524,0.000151793151472488,0.000142306079505458
