"Hora","D1","D2","D3","D4","D5","D6","D7"
0,0.000229587141602139,0.000197331096914235,0.000263740600683449,0.000250458699929606,0.00022389489842192,0.000265638015076855,0.000305483717338383
1,0.000237176799175763,0.000193536268127423,0.00021440782645489,0.000170767295406549,0.000189741439340611,0.000280817330224104,0.000254253528716418
2,0.000178356952980174,0.000155587980259301,0.000178356952980174,0.000195433682520829,0.000208715583274672,0.000277022501437291,0.000313073374912007
3,0.000168869881013143,0.000157485394652707,0.000147998322685676,0.000130921593145021,0.000155587980259301,0.000320663032485632,0.000314970789305414
4,0.000172664709799956,0.000115742277997772,0.000129024178751615,0.000130921593145021,0.000185946610553798,0.000320663032485632,0.000411738923369125
5,0.00014610090829227,8.72810620966809e-05,9.10758908834931e-05,9.48707196703053e-05,0.000100562962850524,0.000203023340094453,0.000267535429470261
6,8.15888189164625e-05,5.3127603015371e-05,8.34862333098686e-05,6.83069181626198e-05,8.15888189164625e-05,0.000117639692391179,0.000149895737079082
7,7.77939901296503e-05,8.72810620966809e-05,8.53836477032747e-05,7.39991613428381e-05,7.58965757362442e-05,6.83069181626198e-05,7.96914045230564e-05
8,0.000104357791637336,9.29733052768992e-05,9.86655484571175e-05,9.48707196703053e-05,0.000104357791637336,6.83069181626198e-05,9.48707196703053e-05
9,8.34862333098686e-05,0.000100562962850524,9.29733052768992e-05,0.000110050034817554,0.000123331935571397,6.83069181626198e-05,7.96914045230564e-05
10,0.000130921593145021,0.000125229349964803,0.000100562962850524,8.72810620966809e-05,0.000117639692391179,0.000106255206030742,7.2101746949432e-05
11,0.000130921593145021,0.000147998322685676,0.000138511250718646,0.000123331935571397,0.000144203493898864,0.00011194744921096,8.53836477032747e-05
12,0.000159382809046113,0.000119537106784585,0.000182151781766986,0.000142306079505458,0.000166972466619737,9.10758908834931e-05,9.67681340637114e-05
13,0.00021440782645489,0.000163177637832925,0.000172664709799956,0.000189741439340611,0.000157485394652707,0.000127126764358209,0.000138511250718646
14,0.000290304402191134,0.000203023340094453,0.000246663871142794,0.000191638853734017,0.000278919915830697,0.000134716421931833,0.000161280223439519
15,0.000339637176419693,0.000320663032485632,0.00032635527566585,0.000252356114323012,0.000271330258257073,0.000163177637832925,0.000159382809046113
16,0.00025804835750323,0.000254253528716418,0.000271330258257073,0.000284612159010916,0.00022389489842192,0.000155587980259301,0.000208715583274672
17,0.000269432843863667,0.000231484555995545,0.000295996645371352,0.000221997484028514,0.000242869042355982,0.000187844024947204,0.00018025436737358
18,0.000265638015076855,0.0002485612855362,0.000242869042355982,0.000278919915830697,0.000242869042355982,0.000225792312815327,0.000225792312815327
19,0.000277022501437291,0.0002485612855362,0.0002485612855362,0.000256150943109824,0.000240971627962575,0.00022389489842192,0.000231484555995545
20,0.000267535429470261,0.00025804835750323,0.000305483717338383,0.000271330258257073,0.000267535429470261,0.000246663871142794,0.0002485612855362
21,0.000244766456749388,0.000267535429470261,0.000252356114323012,0.000278919915830697,0.000330150104452662,0.000246663871142794,0.000267535429470261
22,0.000256150943109824,0.000280817330224104,0.000239074213569169,0.000265638015076855,0.000297894059764759,0.000210612997668078,0.000299791474158165
23,0.000244766456749388,0.000237176799175763,0.000256150943109824,0.000275125087043885,0.000263740600683449,0.000297894059764759,0.000297894059764759
